,drug_id,identifier
9725,13396,EB 382
9726,13396,EB-382
9727,13400,C-12669
9728,13400,NSC-3096
9729,13411,NSC-4714
9730,13413,NU 903
9731,13416,R-52
9732,13418,NSC-15398
9733,13423,LD 3394
9734,13427,GNF-Pf-3462
9735,13428,CP 1044 J3
9736,13428,CP-1044-J3
9737,13430,LL 1558
9738,13430,LL-1558
9739,13430,NSC-66316
9740,13434,NSC-2652
9741,13436,MH-532
9742,13444,M 551
9743,13444,S 46
9744,13446,DA 2370
9745,13448,E-507
9746,13448,INS NO.507
9747,13448,INS-507
9748,13448,NSC-77365
9749,13450,RO 11-1430
9750,13450,RO-11-1430
9751,13453,NSC-305337
9752,13453,Z-876
9753,13454,E-404
9754,13454,FEMA NO. 2015
9755,13454,INS NO.404
9756,13454,INS-404
9757,13459,DEA No. 2100
9758,13468,NSC-55975
9759,13468,ORG 817
9760,13470,NSC-4772
9761,13473,NSC-6831
9762,13475,NSC-33669
9763,13476,U 2134
9764,13482,CV 664
9765,13485,"WIN 18,501-2"
9766,13485,WIN-18501-2
9767,13488,BZ 55
9768,13488,BZ-55
9769,13488,CA 1022
9770,13488,U 6987
9771,13488,U-6987
9772,13491,TMS 19Q
9773,13491,TMS-19Q
9774,13496,IN 511
9775,13496,MJ 505
9776,13500,R 2858
9777,13503,ORF 15817
9778,13503,ORF-15817
9779,13503,RWJ 15817
9780,13503,RWJ-15817
9781,13506,ENT-1506
9782,13506,NSC-8939
9783,13517,BQ 22-708
9784,13524,BO 714
9785,13526,AG 58107
9786,13526,AG-58107
9787,13534,ISF 2469
9788,13536,IDS-NN-003
9789,13538,NSC-154011
9790,13538,SF-837
9791,13538,SF-837A1
9792,13538,YL-704B1
9793,13540,IDS-NT-001
9794,13540,NSC-117860
9795,13547,CC 2481
9796,13547,"R 17,147"
9797,13547,R 17147
9798,13549,NSC-119991
9799,13549,NSC-7533
9800,13550,UK-738
9801,13551,C-11925
9802,13553,MT-9938
9803,13554,F 6066
9804,13554,ICI 48213
9805,13558,R-253
9806,13562,LC 33
9807,13562,LC-33
9808,13563,"CP-66,248"
9809,13563,CP-66248
9810,13565,E 141
9811,13565,MD-141
9812,13569,NP-59
9813,13569,NP-59 I-131
9814,13577,E-600
9815,13577,E600
9816,13578,WY-3263
9817,13581,J01DD03
9818,13586,LY-97964
9819,13586,LY097964
9820,13586,RO 15-8074
9821,13593,LAS 9273
9822,13595,NSC-74686
9823,13600,A 2830-9
9824,13600,E-400
9825,13600,INS NO.400
9826,13600,INS-400
9827,13602,FI 6337
9828,13602,FI-6337
9829,13602,FI6337
9830,13603,AMT-011
9831,13605,LIR 1660
9832,13619,AC 2770
9833,13619,AC-2770
9834,13621,B 10610
9835,13621,B-10610
9836,13621,BC-17
9837,13621,SQ 21982
9838,13621,SQ-21982
9839,13622,Sch 21420
9840,13622,SCH-21420
9841,13626,J3.352I
9842,13626,NSC-28787
9843,13636,R 1658
9844,13643,SD 271-12
9845,13653,ANTIBIOTIC A 246
9846,13653,ANTIBIOTIC A-246
9847,13654,KABI-925
9848,13654,MK-250
9849,13654,NSC-169882
9850,13655,NSC-52996
9851,13657,DL 152
9852,13657,S-1210
9853,13659,NSC-9324
9854,13668,NSC-42722
9855,13669,NSC-75054
9856,13669,SH 723
9857,13669,SH-723
9858,13670,LS 84
9859,13670,LS-84
9860,13673,EXP 999
9861,13673,RP 9965
9862,13679,SKF 8898-A
9863,13679,SKF 8898A
9864,13680,NSC-100036
9865,13683,CGP 21690E
9866,13683,CT-848
9867,13683,ISF 2522
9868,13685,NSC-107654
9869,13695,FER-1443
9870,13702,E-577
9871,13702,INS NO.577
9872,13702,INS-577
9873,13704,J40.704F
9874,13705,CM-346
9875,13709,NSC-110364
9876,13709,W 4565
9877,13709,W-4565
9878,13710,E-214
9879,13710,E214
9880,13710,NSC-23514
9881,13710,NSC-8510
9882,13713,NSC-169423
9883,13713,R 694
9884,13713,R-694
9885,13720,BMY-25182
9886,13720,T-1982
9887,13722,DGS 0110A
9888,13722,DGS-0110A
9889,13722,NSC-35349
9890,13723,33T57
9891,13723,NSC-69811
9892,13725,RU-31158 FREE BASE
9893,13727,EZ-55
9894,13727,NIK-244
9895,13728,LTI-01
9896,13729,ICIG 1110
9897,13729,ICIG-1110
9898,13735,RO 13-1042
9899,13735,RO-13-1042
9900,13739,WIN 11450
9901,13739,WIN-11450
9902,13743,BA 32644
9903,13743,BA 32644 Ciba
9904,13743,CIBA 32644BA
9905,13743,NSC-136947
9906,13755,NK-1006
9907,13759,CS 310
9908,13764,HR 810
9909,13769,1709 CERM
9910,13770,GSK-2402968
9911,13770,GSK-2402968A
9912,13770,GSK2402968
9913,13770,GSK2402968A
9914,13770,H51AON23
9915,13770,PRO-051
9916,13770,PRO051
9917,13779,DC 0572
9918,13781,R.P. 2255
9919,13781,RP 2255
9920,13781,RP-2255
9921,13783,SH H 200 AB
9922,13786,RP 7293
9923,13787,MM-692
9924,13789,E-335(II)
9925,13789,INS NO.335(II)
9926,13789,INS-335(II)
9927,13793,35NZ
9928,13793,554L
9929,13793,L-554
9930,13793,MCI-5011
9931,13798,NSC-6370
9932,13800,NSC-41799
9933,13805,MET-88
9934,13821,"WY-20,788"
9935,13821,WY-20788
9936,13822,NP13
9937,13827,AH 8165D
9938,13833,NSC-167409
9939,13833,NSC-234419
9940,13836,AHR 233
9941,13836,"CL 27,319"
9942,13836,OM 518
9943,13837,MP 2032
9944,13840,ANP-235
9945,13843,S 2107
9946,13843,SL 396
9947,13846,Z 12007
9948,13847,TL 898
9949,13848,MCN-JR-7904
9950,13848,R 7904
9951,13848,R-7904
9952,13849,R 83842
9953,13849,R-83842
9954,13849,R-83942
9955,13852,JD-96
9956,13855,CL-13494
9957,13858,NSC-527083
9958,13861,NSC-108163
9959,13865,K 708
9960,13865,K-708
9961,13865,TV-1322
9962,13865,TVX 3322
9963,13869,DEA No. 9750
9964,13873,"MCN-JR-16,341"
9965,13873,"R 16,341"
9966,13874,DT-327
9967,13877,Ro 10-5970
9968,13877,Ro 105970
9969,13880,ODA 914
9970,13880,ODA-914
9971,13883,Bay G 2821
9972,13885,BE 1293
9973,13885,BE-1293
9974,13885,"MJF 10,938"
9975,13885,MJF 10938
9976,13887,WT-161
9977,13887,WT161
9978,13888,DUP 996
9979,13891,CT-2103
9980,13903,J01DB12
9981,13905,J01MB04
9982,13911,INS NO.552
9983,13911,INS-552
9984,13913,NSC-146182
9985,13919,BRN 0767530
9986,13919,SAS-643
9987,13923,AY-62021
