drug_id,region,max_phase,marketed_prescription,marketed_prescription_started_on,marketed_prescription_ended_on,generic_available,generic_available_on,mixture_available,mixture_available_on,marketed_otc,marketed_otc_started_on,marketed_otc_ended_on,marketed_unapproved,marketed_unapproved_started_on,marketed_unapproved_ended_on,pre_market_cancelled,pre_market_cancelled_on,post_market_cancelled,post_market_cancelled_on
61,th,0,0,,,0,,0,,0,,,0,,,0,,0,
61,us,4,1,18-Oct-2010,30-Jun-2019,0,,0,,0,,,0,,,0,,1,30-Jun-2019
62,ca,4,1,31-Dec-1951,,0,,1,,0,,,0,,,0,,0,
62,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
62,th,0,0,,,0,,0,,0,,,0,,,0,,0,
62,us,4,1,21-Oct-1942,,0,,1,,0,,,0,,,0,,0,
63,ca,4,1,23-Jun-1999,,0,,0,,0,,,0,,,0,,0,
63,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
63,th,4,0,,,0,,0,,0,,,0,,,0,,0,
63,us,4,1,18-May-1998,,1,,0,,0,,,0,,,0,,0,
65,ca,4,1,14-Jun-2001,,0,,0,,0,,,0,,,0,,0,
65,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
65,th,4,0,,,0,,0,,0,,,0,,,0,,0,
65,us,4,1,24-Aug-1998,,0,,0,,0,,,0,,,0,,0,
66,ca,4,1,31-Dec-1979,,0,,1,,0,,,0,,,0,,0,
66,eu,4,1,08-Sep-2016,,0,,1,,0,,,0,,,0,,0,
66,th,4,0,,,0,,1,,0,,,0,,,0,,0,
66,us,4,1,29-Sep-1997,,0,,1,,0,,,0,,,0,,0,
67,ca,4,1,31-Dec-1971,,0,,0,,0,,,0,,,0,,0,
67,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
67,th,0,0,,,0,,0,,0,,,0,,,0,,0,
67,us,4,1,01-Oct-1992,,0,,0,,0,,,1,01-Oct-1992,,0,,0,
68,ca,4,1,31-Dec-1995,,0,,0,,0,,,0,,,0,,0,
68,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
68,th,4,0,,,0,,0,,0,,,0,,,0,,0,
68,us,4,1,09-Jul-2009,,0,,0,,0,,,0,,,0,,0,
69,ca,4,1,12-Jul-1999,31-Oct-2012,0,,0,,0,,,0,,,0,,1,31-Oct-2012
69,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
69,th,0,0,,,0,,0,,0,,,0,,,0,,0,
