drug_id,country,number,approved_on,expires_on,ped_extension
1320,United States,9750822,05-Sep-2017,13-Mar-2029,0
1320,United States,9493582,15-Nov-2016,27-Feb-2033,0
1320,United States,8410077,02-Apr-2013,13-Mar-2029,0
1320,United States,9200088,01-Dec-2015,13-Mar-2029,0
1320,United States,7635773,22-Dec-2009,13-Mar-2029,0
1332,Canada,1321580,24-Aug-1993,24-Aug-2010,0
1340,United States,20060293517,08-Mar-2004,08-Mar-2024,0
1345,United States,6946149,20-Sep-2005,07-Mar-2023,0
1364,United States,10869845,22-Dec-2020,22-Jan-2040,0
1364,United States,11090278,16-May-2020,16-May-2040,0
1367,United States,5387612,07-Feb-1995,07-Feb-2012,0
1367,Canada,2232310,08-Jan-2008,18-Sep-2016,0
1367,Canada,2031714,25-Aug-1998,06-Dec-2010,0
1367,United States,5453446,26-Sep-1995,07-Feb-2017,0
1367,United States,7815942,19-Oct-2010,27-Aug-2027,0
1367,United States,7572834,11-Aug-2009,05-Dec-2026,0
1367,United States,6126968,03-Oct-2000,18-Sep-2016,0
1377,United States,8450338,28-May-2013,10-Oct-2028,0
1377,United States,8481083,09-Jul-2013,10-Oct-2028,0
1377,United States,9827231,28-Nov-2017,23-Jun-2034,0
1377,United States,10624879,21-Apr-2020,23-Jun-2034,0
1390,United States,6489346,03-Dec-2002,16-Jul-2016,0
1390,United States,6699885,02-Mar-2004,16-Jul-2016,0
1390,United States,RE45198,14-Oct-2014,16-Jul-2016,0
1390,United States,6645988,11-Nov-2003,16-Jul-2016,0
1390,United States,7399772,15-Jul-2008,16-Jul-2016,0
1390,United States,5945449,31-Aug-1999,31-Oct-2017,0
1390,United States,7300674,27-Nov-2007,04-Mar-2023,0
1390,United States,7291324,06-Nov-2007,22-Oct-2022,0
1390,United States,5840737,24-Nov-1998,15-Jul-2016,0
1390,United States,6780882,24-Aug-2004,15-Jul-2016,0
1390,United States,7084130,01-Aug-2006,29-Nov-2021,0
1394,United States,7601758,13-Oct-2009,10-Feb-2029,0
1394,United States,7619004,17-Nov-2009,03-Dec-2028,0
1394,United States,7820681,26-Oct-2010,17-Feb-2029,0
1394,United States,7906519,15-Mar-2011,17-Feb-2029,0
1394,United States,7915269,29-Mar-2011,17-Feb-2029,0
1394,United States,7935731,03-May-2011,03-Dec-2028,0
1394,United States,7964647,21-Jun-2011,06-Oct-2028,0
1394,United States,7964648,21-Jun-2011,06-Oct-2028,0
1394,United States,7981938,19-Jul-2011,06-Oct-2028,0
1394,United States,8093296,10-Jan-2012,06-Oct-2028,0
1394,United States,8093297,10-Jan-2012,06-Oct-2028,0
1394,United States,8093298,10-Jan-2012,06-Oct-2028,0
1394,United States,8097655,17-Jan-2012,06-Oct-2028,0
1394,United States,8415395,09-Apr-2013,06-Oct-2028,0
1394,United States,8415396,09-Apr-2013,06-Oct-2028,0
1394,United States,8440721,14-May-2013,17-Feb-2029,0
1394,United States,8440722,14-May-2013,17-Feb-2029,0
1394,United States,8927607,06-Jan-2015,22-Aug-2033,0
1394,United States,9399036,26-Jul-2016,22-Aug-2033,0
1394,United States,9675613,13-Jun-2017,22-Aug-2033,0
1394,United States,9555029,31-Jan-2017,22-Aug-2033,0
1394,United States,9789108,17-Oct-2017,22-Aug-2033,0
1394,United States,9907751,06-Mar-2018,22-Nov-2036,0
1394,United States,10226423,12-Mar-2019,20-Dec-2037,0
1394,United States,10383820,20-Aug-2019,22-Nov-2036,0
1394,United States,10383821,20-Aug-2019,22-Nov-2036,0
1395,United States,6787531,07-Sep-2004,31-Aug-2020,0
1395,United States,6933395,23-Aug-2005,11-Aug-2017,0
1395,United States,8906890,09-Dec-2014,22-Oct-2031,0
1395,United States,6987101,17-Jan-2006,22-Dec-2017,0
1395,United States,7163931,16-Jan-2007,20-Dec-2021,0
1395,United States,6958326,25-Oct-2005,20-Dec-2021,0
1395,United States,5798338,25-Aug-1998,10-Jul-2015,0
1395,United States,6441168,27-Aug-2002,30-Jul-2022,0
1395,United States,8617597,31-Dec-2013,08-Feb-2030,0
1395,United States,10179140,15-Jan-2019,28-Jun-2031,0
1395,United States,9603860,28-Mar-2017,28-Jun-2031,0
1395,United States,10603281,31-Mar-2020,08-Jun-2031,0
1395,United States,10849857,01-Dec-2020,28-Jun-2031,0
1395,United States,7732430,08-Jun-2010,02-Mar-2025,0
1395,United States,10987364,28-Jun-2011,28-Jun-2031,0
1409,United States,5478578,26-Dec-1995,26-Dec-2012,0
1409,Canada,2066248,04-Aug-1998,08-Sep-2010,0
1409,United States,6908928,21-Jun-2005,24-Mar-2022,1
1409,United States,7070800,04-Jul-2006,22-Jul-2022,1
1409,United States,8022082,20-Sep-2011,19-Jul-2026,1
1409,United States,RE39820,04-Sep-2007,30-Jul-2018,1
1409,United States,7642268,05-Jan-2010,24-Mar-2022,1
1409,United States,7694676,13-Apr-2010,12-Sep-2027,1
1409,United States,6777423,17-Aug-2004,24-Mar-2022,1
1409,United States,7309707,18-Dec-2007,24-Mar-2022,1
1409,United States,RE38912,06-Dec-2005,11-Apr-2022,1
1409,United States,6453795,24-Sep-2002,05-Jun-2017,1
1409,United States,8733341,27-May-2014,16-Apr-2031,1
1409,United States,9027967,12-May-2015,01-Oct-2027,1
1409,United States,7104470,12-Sep-2006,04-Apr-2017,1
1409,United States,7246615,24-Jul-2007,01-Dec-2016,1
1409,United States,7896264,01-Mar-2011,26-Nov-2025,1
1409,United States,7988001,02-Aug-2011,04-Feb-2022,1
1409,United States,7802568,28-Sep-2010,26-Aug-2019,1
1409,United States,6149054,21-Nov-2000,16-Jun-2017,1
1409,United States,6726124,27-Apr-2004,04-Apr-2017,1
1409,United States,7396341,08-Jul-2008,10-Apr-2027,1
1409,United States,6846413,25-Jan-2005,28-Feb-2019,1
1409,United States,6176442,23-Jan-2001,01-Dec-2016,1
1409,United States,7837235,23-Nov-2010,13-Sep-2028,1
1409,United States,5964416,12-Oct-1999,04-Apr-2017,1
1409,United States,7284474,23-Oct-2007,26-Feb-2025,1
1409,United States,6977042,20-Dec-2005,28-Feb-2019,1
1409,United States,6988496,24-Jan-2006,23-Aug-2020,1
1409,United States,8044046,25-Oct-2011,10-Nov-2023,0
1409,United States,8034809,11-Oct-2011,12-May-2025,0
1409,United States,7220742,22-May-2007,12-May-2025,0
1409,United States,7491719,17-Feb-2009,10-Nov-2023,0
1409,United States,7056916,06-Jun-2006,07-Dec-2023,0
